Cluster Index	Value	x	y	z	
5	7.45	-44	-36	48
5	7.16	42	-66	-14
5	7.04	-40	-44	40
5	6.88	40	-58	-20
5	6.87	18	-52	-24
5	6.83	-32	-46	48
4	4.93	34	40	30
4	4.59	40	42	22
4	4.28	40	32	26
4	4.17	44	32	24
4	4.09	30	44	20
4	4.05	40	46	14
3	5.18	26	60	-14
3	3.53	34	54	-14
2	4.73	46	-32	-4
1	4.13	8	-50	46
1	3.49	10	-48	38
